produit_id,date,prevision,modele_utilise,intervalle_confiance_bas,intervalle_confiance_haut
P0123,2025-09-01,40.81702919277587,sarima,32.6536233542207,48.98043503133104
P0123,2025-10-01,40.81702919277587,sarima,32.6536233542207,48.98043503133104
P0123,2025-11-01,40.81702919277587,sarima,32.6536233542207,48.98043503133104
P0123,2025-12-01,40.81702919277587,sarima,32.6536233542207,48.98043503133104
P0123,2026-01-01,40.81702919277587,sarima,32.6536233542207,48.98043503133104
P0275,2025-08-01,15.75,sarima,12.600000000000001,18.9
P0275,2025-09-01,15.75,sarima,12.600000000000001,18.9
P0275,2025-10-01,15.75,sarima,12.600000000000001,18.9
P0275,2025-11-01,15.75,sarima,12.600000000000001,18.9
P0275,2025-12-01,15.75,sarima,12.600000000000001,18.9
P0275,2026-01-01,15.75,sarima,12.600000000000001,18.9
P0243,2025-08-01,40.6460806217884,sarima,32.516864497430724,48.775296746146076
P0243,2025-09-01,61.51165643035614,sarima,49.20932514428492,73.81398771642736
P0243,2025-10-01,39.547892421337465,sarima,31.638313937069974,47.45747090560496
P0243,2025-11-01,29.66419861727907,sarima,23.731358893823256,35.59703834073488
P0243,2025-12-01,42.2933629224648,sarima,33.83469033797184,50.75203550695776
P0243,2026-01-01,27.4678222163772,sarima,21.974257773101762,32.96138665965264
P0041,2025-08-01,2.720042662974112,croston_sba,2.1760341303792896,3.264051195568934
P0041,2025-09-01,2.720042662974112,croston_sba,2.1760341303792896,3.264051195568934
P0041,2025-10-01,2.720042662974112,croston_sba,2.1760341303792896,3.264051195568934
P0041,2025-11-01,2.720042662974112,croston_sba,2.1760341303792896,3.264051195568934
P0041,2025-12-01,2.720042662974112,croston_sba,2.1760341303792896,3.264051195568934
P0041,2026-01-01,2.720042662974112,croston_sba,2.1760341303792896,3.264051195568934
P0079,2025-08-01,0.0,obsolete,0.0,0.0
P0079,2025-09-01,0.0,obsolete,0.0,0.0
P0079,2025-10-01,0.0,obsolete,0.0,0.0
P0079,2025-11-01,0.0,obsolete,0.0,0.0
P0079,2025-12-01,0.0,obsolete,0.0,0.0
P0079,2026-01-01,0.0,obsolete,0.0,0.0
P0209,2025-08-01,0.0,obsolete,0.0,0.0
P0209,2025-09-01,0.0,obsolete,0.0,0.0
P0209,2025-10-01,0.0,obsolete,0.0,0.0
P0209,2025-11-01,0.0,obsolete,0.0,0.0
P0209,2025-12-01,0.0,obsolete,0.0,0.0
P0209,2026-01-01,0.0,obsolete,0.0,0.0
P0003,2025-08-01,0.0,obsolete,0.0,0.0
P0003,2025-09-01,0.0,obsolete,0.0,0.0
P0003,2025-10-01,0.0,obsolete,0.0,0.0
P0003,2025-11-01,0.0,obsolete,0.0,0.0
P0003,2025-12-01,0.0,obsolete,0.0,0.0
P0003,2026-01-01,0.0,obsolete,0.0,0.0
P0228,2025-08-01,6.527777777777777,sarima,5.222222222222221,7.833333333333332
P0228,2025-09-01,6.527777777777777,sarima,5.222222222222221,7.833333333333332
P0228,2025-10-01,6.527777777777777,sarima,5.222222222222221,7.833333333333332
P0228,2025-11-01,6.527777777777777,sarima,5.222222222222221,7.833333333333332
P0228,2025-12-01,6.527777777777777,sarima,5.222222222222221,7.833333333333332
P0228,2026-01-01,6.527777777777777,sarima,5.222222222222221,7.833333333333332
P0049,2025-08-01,6.333333333333332,sarima,5.066666666666666,7.599999999999998
P0049,2025-09-01,6.333333333333332,sarima,5.066666666666666,7.599999999999998
P0049,2025-10-01,6.333333333333332,sarima,5.066666666666666,7.599999999999998
P0049,2025-11-01,6.333333333333332,sarima,5.066666666666666,7.599999999999998
P0049,2025-12-01,6.333333333333332,sarima,5.066666666666666,7.599999999999998
P0049,2026-01-01,6.333333333333332,sarima,5.066666666666666,7.599999999999998
P0151,2025-08-01,52.07607254506052,sarima,41.66085803604842,62.49128705407262
P0151,2025-09-01,42.93269057552851,sarima,34.34615246042281,51.519228690634215
