produit_id,mois_offset,quantite_commandee_emp,commande_passee_emp,stock_final_emp,rupture_emp,demande_prevue,cout_achat
P0005,6,0,0,30.220647642527524,0.0,13.668007363923444,130.0
P0001,1,0,0,7.0,0.0,0.0,95.0
P0001,2,0,0,7.0,0.0,0.0,95.0
P0001,3,0,0,7.0,0.0,0.0,95.0
P0001,4,0,0,7.0,0.0,0.0,95.0
P0001,5,0,0,7.0,0.0,0.0,95.0
P0001,6,0,0,7.0,0.0,0.0,95.0
P0186,1,0,0,9.308289073123959,0.0,4.691710926876041,152.0
P0186,2,15,1,4.810740600919044,0.0,4.497548472204914,152.0
P0186,3,0,0,11.95662693640392,0.0,7.854113664515124,152.0
P0186,4,15,1,5.997709310527936,0.0,5.9589176258759835,152.0
P0186,5,0,0,12.373936181533608,0.0,8.62377312899433,152.0
P0186,6,15,1,0.0,0.21063971604212384,12.584575897575732,152.0
P0090,1,0,0,8.979288050663639,0.0,4.020711949336361,280.0
P0090,2,14,1,4.153882973393082,0.0,4.825405077270557,280.0
P0090,3,0,0,11.538859928099722,0.0,6.61502304529336,280.0
P0090,4,14,1,1.594578721014372,0.0,9.94428120708535,280.0
P0090,5,14,1,6.022664653073564,0.0,9.571914067940808,280.0
P0090,6,0,0,15.217485412092495,0.0,4.805179240981067,280.0
P0019,1,0,0,0.0,0.0,0.0,235.0
P0019,2,0,0,0.0,0.0,0.0,235.0
P0019,3,0,0,0.0,0.0,0.0,235.0
P0019,4,0,0,0.0,0.0,0.0,235.0
P0019,5,0,0,0.0,0.0,0.0,235.0
P0019,6,0,0,0.0,0.0,0.0,235.0
P0112,1,42,1,9.65630180026066,0.0,22.34369819973934,88.0
P0112,2,42,1,0.0,14.15938132990852,23.81568313016918,88.0
P0112,3,42,1,13.810184135513335,0.0,28.189815864486665,88.0
P0112,4,0,0,46.603563735049285,0.0,9.206620400464054,88.0
P0112,5,0,0,74.00519260797984,0.0,14.598371127069436,88.0
P0112,6,0,0,48.96458840465098,0.0,25.04060420332885,88.0
P0089,1,10,1,0.0,0.2510337866851513,5.251033786685151,360.0
P0089,2,10,1,2.6329888817041605,0.0,7.3670111182958395,360.0
P0089,3,0,0,11.76338653655974,0.0,0.869602345144422,360.0
P0089,4,0,0,6.28178376711681,0.0,5.4816027694429295,360.0
P0089,5,10,1,0.691882708749695,0.0,5.589901058367115,360.0
P0089,6,0,0,5.74798280183643,0.0,4.943899906913265,360.0
P0054,1,0,0,10.557756249551419,0.0,3.442243750448581,320.0
P0054,2,0,0,6.760326517124732,0.0,3.7974297324266866,320.0
P0054,3,10,1,0.6236723029165852,0.0,6.136654214208147,320.0
P0054,4,0,0,7.914882595922718,0.0,2.708789706993867,320.0
P0054,5,10,1,2.2384331164575118,0.0,5.676449479465206,320.0
P0054,6,10,1,4.6626813752054534,0.0,7.575751741252057,320.0
P0038,1,0,0,5.384668020060676,0.0,3.6153319799393233,680.0
P0038,2,0,0,3.5197765183885643,0.0,1.8648915016721122,680.0
P0038,3,0,0,3.301360023465401,0.0,0.21841649492316348,680.0
P0038,4,0,0,3.301360023465401,0.0,0.0,680.0
P0038,5,5,1,0.0,0.004900415868544172,3.306260439333945,680.0
P0038,6,5,1,1.486062902691931,0.0,3.513937097308069,680.0
P0158,1,97,1,0.0,25.004553652666786,41.004553652666786,32.0
P0158,2,0,0,55.79115455576764,0.0,41.20884544423236,32.0
P0158,3,97,1,5.569183229463626,0.0,50.221971326304015,32.0
P0158,4,0,0,49.06453725780302,0.0,53.5046459716606,32.0
P0158,5,97,1,1.7909009306879753,0.0,47.27363632711504,32.0
P0158,6,97,1,43.80717105979788,0.0,54.98372987089009,32.0
P0058,1,10,1,0.0,7.879968824927364,8.879968824927364,280.0
P0058,2,0,0,6.767405303190456,0.0,3.2325946968095445,280.0
P0058,3,10,1,2.8970184352644033,0.0,3.8703868679260527,280.0
P0058,4,0,0,8.321624287196208,0.0,4.575394148068195,280.0
P0058,5,10,1,4.311055562834976,0.0,4.0105687243612325,280.0
P0058,6,0,0,9.1859702445105,0.0,5.125085318324476,280.0
P0179,1,0,0,70.0,0.0,0.0,58.0
